school,state,region,year,confidence,flags,applied,admitted,admit_rate,enrolled_ft_freshmen,sat_25,sat_75,act_25,act_75,avg_gpa,pct_top_10,test_policy,tuition_in,tuition_out,coa_in,coa_out,n_with_need,n_no_need,n_no_need_merit,pct_no_need_merit,avg_merit,price_after_merit,n_athletic,avg_athletic,pct_need_fully_met,avg_pct_need_met,avg_need_based_award,notes
Binghamton University,NY,Northeast,2023-24,high,,49519,18683,0.3773,3070,1350,1470,30,33,3.9,49.4,Test Optional,10363,29453,27919,47009,1676,1394,246,0.1765,9230.49,37778.51,71,15830.6,14.2,70.6,15961.44,All key fields found cleanly. Test policy is test-optional (students may submit SAT/ACT). Public SUNY institution with in-state and out-of-state tuition rates.
Boston College,MA,Northeast,2022-23,high,,40494,6748,0.1666,2335,1450,1520,33,35,3.9,90,Require for Some,67680,67680,89605,89605,983,1352,24,0.0178,26012,63593,69,62067,100,100,49872,All key sections found cleanly. Private institution with identical in-state and out-of-state tuition. Need-based aid shows 100% fulfillment. Athletic aid separately tracked from merit aid.
Boston University,MA,Northeast,2023-24,high,,80495,8733,0.1085,3145,1410,1500,32,34,3.89,86,optional,65168,65168,85478,85478,1173,1972,251,0.1273,47920,37558,62,56469,33,95,64432,"All key CDS sections located cleanly. Test optional policy clearly stated. SAT composite provided directly (1410/1500), ACT composite also provided (32/34). Private institution, so tuition identical for in-state and out-of-state. H2A merit aid fields extracted cleanly from dedicated section."
Bowdoin College,ME,Northeast,2023-24,high,,10966,879,0.0802,504,1470,1530,33,35,,86,optional,67832,67832,86320,86320,257,247,16,0.0648,1000,85320,0,0,100,100,69240,All key fields found clearly. SAT composite reported directly; GPA not provided in document. Test policy is optional/not required.
Bradley University,IL,Midwest,2023-24,high,merit_rate_clamped_denominator_approx,10138,7772,0.7666,830,1050,1290,25,32,3.8,29,Not considered for admission,39680,39680,52530,52530,799,31,236,1.0,21143,31387,31,20035,22.65,81.1,27850,"Verified against source: H2/H2A report the Full-Time-First-Time-First-Year column only (cohort of 1036 for the 2022-23 aid year, distinct from the Fall 2023 enrolled_ft_freshmen of 830 reported elsewhere in CDS). Within that cohort, no-need merit (236) + with-need (799) = 1035 <= 1036, so figures are internally consistent and correctly drawn from the freshman column, not all-undergrads (4026/2848/1125/159)."
Brandeis University,MA,Northeast,2023-24,high,,11282,3986,0.3533,865,1400,1500,31,34,3.9,54,"Not required for admission, but considered if submitted",68080,68080,86664,86664,441,424,250,0.5896,13615,73049,0,0,67.3,94.24,51382,"All key financial aid sections (H2, H2A) found cleanly. Test policy is test-optional (not required, but considered if submitted). Athletic awards field in H2A shows 0."
Brown University,RI,Northeast,2023-24,high,,31650,2686,0.0849,1695,1510,1560,34,35,,92,Test optional,71312,71312,88756,88756,879,816,7,0.0086,20554,68202,0,0,100,100,63523,All key H2A fields found cleanly. Brown is private (international students pay same as out-of-state). No athletic scholarships awarded to freshmen (0 students). Need-based aid data shows 100% need met for qualified students.
Bryant University,RI,Northeast,2019-20,high,,4550,3083,0.6776,854,1150,1280,25,29,3.43,20.14,require,46863,46863,63067,63067,481,373,62,0.1662,16424,46643,10,17410,21.83,47,9941,All key fields cleanly extracted from CDS sections. Private institution with fixed tuition for in-state and out-of-state students.
Bryn Mawr College,PA,Northeast,2023-24,high,,3278,1018,0.3106,361,1320,1460,30,33,,69,"Not required for admission, but considered for some",65510,65510,84910,84910,191,170,39,0.2294,11003.79,73906.20999999999,0,0,100,100,54020.3,"All key financial aid fields found clearly in H2A section. No average GPA available (form shows 0.0% in all GPA ranges). Bryn Mawr is a private institution, so in-state and out-of-state tuition are the same."
Bucknell University,PA,Northeast,2023-24,high,,11010,3524,0.3201,1030,1170,1360,25,32,3.65,47,"Not required for admission, but considered for some",67812,67812,84736,84736,472,558,91,0.1631,22765,61971,56,39787,21.4,91,47662,"All key sections located cleanly. Private institution with consistent data across admissions, cost, and financial aid sections."
Butler University,IN,Midwest,2023-24,high,,9431,8098,0.8587,1151,1198,1340,26,31,3.9,49.5,Optional,47560,47560,64810,64810,694,457,427,0.9344,24160,40650,28,29592,13.1,72.9,30948,"All key fields extracted cleanly from CDS. Private institution, so in-state and out-of-state tuition are the same. SAT composite provided directly (1198-1340 25th-75th)."
CUNY Bernard M Baruch College,NY,Northeast,2019-20,low,coa_from_ipeds,20303,8811,0.434,2261,1130,1330,,,3.3,41,Required,,,31482,39432,,,,,,,,,,,,Verified: the source document skips directly from Section F (retention/graduation) to Section I (faculty/class size) and Section J (degrees) with no Section G (cost of attendance) or Section H (financial aid/need-merit tables) present anywhere in the text; no H2/H2A/G1 data exists to extract. enrolled_ft_freshmen (2261) independently confirmed from C1 (1299 full-time men + 962 full-time women).
CUNY Hunter College,NY,Northeast,2020-21,medium,sat_25_out_of_range,29894,15107,0.5054,1982,520,610,23,31,3.39,10.6,optional,7340,19010,24767,36437,1776,206,37,0.1796,5380,31057,,,3.51,58.5,9059,"Athletic aid fields (P and Q in H2A) are blank/missing from the CDS. SAT composite reported separately, not summed from components. Test score policy is optional (not required). Hunter College is part of CUNY (public institution)."
California Institute of Technology,CA,West,2023-24,high,,13107,412,0.0314,266,,,,,,94.5,Required to be considered for admission,65898,65898,86181,86181,137,129,0,,0,,0,0,100,100,74950,All key fields found cleanly. Test scores (SAT/ACT percentiles) not provided in detail but marked as confidential. Average HS GPA not provided. Merit aid is zero across the board for non-need-based awards and athletic scholarships.
"California State Polytechnic University, Pomona",CA,West,2023-24,high,,46241,33808,0.7311,4209,,,,,3.69,32.77,test-optional,7438,19318,24120,36000,2968,1241,8,0.0064,510.75,35489.25,186,540.11,2.02,63.4,13873.12,"Test-optional institution; SAT/ACT scores not reported/required. H2A shows 8 students with merit aid and 186 with institutional scholarships; unclear if the 186 includes athletic awards or is separate. Full-time first-time freshmen enrollment: 4,209."
"California State University, Fullerton",CA,West,2023-24,high,coa_from_ipeds,48479,42040,0.8672,6628,880,1100,20,26,3.45,,Test-optional; not required for admission,7470,20070,30640,42520,3708,2920,930,0.3185,2590,39930,16,13570,8.98,90,8399,"Food and housing costs not separated in the provided data (only listed as optional fields with no values). Test-optional institution (test scores not required for admission). Section H1 shows total aid amounts were zero/not reported separately in the structure; using H2 counts and averages from first-time, first-year column."
"California State University, Long Beach",CA,West,2023-24,medium,,79657,37547,0.4714,5585,,,,,3.7,,"Not considered for admission, even if submitted",7374,18294,24040,34960,3318,2267,235,0.1037,1280,33680,27,14660,27.27,82,11893,File named Fresno but contains CSULB data. SAT/ACT scores all marked as confidential ('C or t'). Test policy is 'not considered.' Class rank and top tenth percentile data not reported ('C or t'). This is public institution in California.
"California State University, Los Angeles",CA,West,2023-24,high,,32748,30106,0.9193,3456,,,,,3.3,,optional,6812.24,16356.36,26482.24,36926.36,3236,220,9,0.0409,5400.82,31525.54,1,5273.43,2.1,51.9,12685.85,"CDS 2023-24 for CSULA. Test policy is SAT/ACT optional (8% submitted SAT, 1% ACT). SAT/ACT composite scores not provided; percentile data shows 0% distributions for individual sections. Average HS GPA obtained from C12 section. Need-based aid fully met percentage calculated as 69/3236 = 2.1%. All first-year full-time freshman data from sections C1, H2, H2A as specified."
Carleton College,MN,Midwest,2023-24,medium,coa_from_ipeds,6464,1440,0.2228,538,1440,1530,32,34,,64.9,"Not required for admission, but considered for some",,,84893,84893,305,233,18,0.0773,7990,76903,0,,100,100,61472,"Section G1 (cost of attendance) shows 2024-2025 costs not currently available at time of filing. GPA data shows 0% submitted, listed as N/A. Test policy is 'not required for admission, but considered for some'. All financial aid data taken from first-time full-time freshmen columns (H2 and H2A sections)."
Carnegie Mellon University,PA,Northeast,2023-24,high,,33707,3843,0.114,1708,1500,1560,34,35,3.91,92.2,Consider if Submitted,66246,66246,84412,84412,713,995,28,0.0281,13092,71320,0,0,95.6,100.0,58579,All key fields extracted cleanly from CDS 2023-24. Private institution with same tuition for in-state and out-of-state. Test policy is 'Consider if Submitted'. No athletic scholarships reported. Cost of attendance calculations use on-campus housing as primary; tuition and fees figures are from G1.
Case Western Reserve University,OH,Midwest,2023-24,medium,coa_from_ipeds,39039,11193,0.2867,1544,1440,1530,32,35,3.8,71.7,Test optional,,,86073,86073,933,611,547,0.8953,29150.58,56922,0,0.0,76.8,100.0,45299.92,"G1 section indicates 2024-2025 costs were not yet available at time of CDS filing (approximate date 5/15/2024). No tuition/fee or food/housing data could be extracted. Test policy is test-optional (scores not required but considered). Athletic aid count is 0; however, athletic awards appear to be separately tracked in H1 table but with no count provided in H2A section P."
Centre College,KY,Southeast,2022-23,high,,2746,1712,0.6235,401,1200,1600,24,36,3.8,44,Consider if Submitted,48070,48070,60370,60370,258,143,140,0.979,34764,25606,0,0,44.96,93.0,42650,"Corrected enrolled_ft_freshmen from 394 to 401 per C1/H2 line A (401 full-time first-time freshmen: 196 men + 198 women + 7 another gender), which also matches the H2 table's own freshman column. H2A merit fields (n=140, avg $34,764, 0 athletic) verified directly from the freshman column and are now consistent: 140 no-need merit recipients <= 401-258=143 without need."
Chapman University,CA,West,2023-24,high,,15914,8849,0.5561,1796,1260,1420,28,32,3.74,36.33,Not required for admission but considered if submitted,64984,64984,87730,87730,1206,590,318,0.539,22139,65591,0,0,25.21,79,45515,"Corrected two errors: n_with_need had been read from H2 row B (applied for need-based aid, 1602) instead of row C (determined to have financial need, 1206) for the freshman column; and coa_total had an unexplained $8,668 excess over the true G1+G5 sum. H2A merit aid (N/O columns, freshman column) confirms 318 no-need recipients averaging $22,139, with 0 athletic awards; these were already correct and are internally consistent (318 <= 1796-1206=590 without-need freshmen). Corrected COA = tuition+fees ($64,984) + food/housing ($17,814) + books ($1,600) + transportation ($1,250) + other expenses ($2,082) = $87,730."
Claremont McKenna College,CA,West,2023-24,high,,5799,645,0.1112,321,1470,1530,33,35,,71.0,"Not required for admission, but considered for some",67980,67980,88810,88810,115,206,23,0.1117,23459,65351,,,100.0,100.0,67675,All key fields found cleanly. Athletic scholarship fields (P and Q in H2A) were blank in original CDS; reported as null. High school GPA not reported due to international student diversity and varying GPA scales.
Clarkson University,NY,Northeast,2023-2024,high,,7347,5668,0.7715,608,1215,1370,26,31,3.82,39.2,Test-optional,59398,59398,77650,77650,453,155,139,0.8968,39995,37655,11,46250,28.7,91,56049,All key sections found cleanly. Test-optional policy confirmed in section C8. H2A data clearly identified for non-need-based merit aid (lines 1898-1901).
Clemson University,SC,Southeast,2023-24,low,,60122,22879,0.3805,4489,1240,1400,28,32,,57,"Not required for admission, but considered if submitted",15554,39498,28426,52370,,,,,,,,,,,,"Verified: H1, H2, and H2A tables are entirely 'C or t' (Confidential or Top Coded) for all three columns (freshmen, all undergrad, less-than-full-time) - no need-aid or merit-aid figures are reported anywhere in the source, so these fields are genuinely unavailable rather than misread. B1 freshmen count (1,878 men + 2,611 women = 4,489) and G1 cost-of-attendance figures (in-state $14,038 tuition + $1,516 fees + $12,872 food/housing = $28,426; out-of-state $37,982 + $1,516 + $12,872 = $52,370) were independently recomputed from source and match the existing extraction exactly."
Coastal Carolina University,SC,Southeast,2023-24,high,,18223,14613,0.8019,2769,1050,1200,20,26,3.7,12.0,Required for some,11640,29628,24180,42168,1662,1107,655,0.5917,6970.96,35197.04,34,19993.07,15.8,58.9,9988.17,All key fields found cleanly in CDS. Test policy shows 'Required for some'; most students submitting scores. H2A merit aid data clearly labeled in first-year column.
Colby College,ME,Northeast,2019-20,high,,13584,1314,0.0967,522,1380,1520,31,34,3.71,68.1,Required,59430,59430,76925,76925,207,315,0,,0,,0,0,100,100,55650,"Private institution (nonprofit). All merit aid fields are zero, indicating no non-need-based merit scholarships or athletic scholarships awarded. Test scores are composite SAT and composite ACT. Need-based aid appears fully met for determined need."
Colgate University,NY,Northeast,2023-24,high,,9779,1064,0.1088,807,1440,1510,32,34,3.88,80,test optional,70306,70306,89916,89916,267,540,0,,0,,75,51326,89.12,100,62115,All key fields found cleanly. Colgate is a private nonprofit institution; both in-state and out-of-state tuition are the same. SAT composite score provided (1440-1510). Test optional policy noted. Need-based aid fully met at 100% for first-year students.
College of Charleston,SC,Southeast,2023-24,high,,26683,19212,0.72,2627,1150,1290,24,29,4.0,18.1,Required for some,12518,37836,27182,52500,1300,1327,1207,0.9096,10747.0,41753.0,32,28234.8,17.8,50.6,16569.3,All key fields located cleanly. Public institution; in-state and out-of-state tuition clearly separated.
College of New Jersey,NJ,Northeast,2023-24,high,coa_from_ipeds,11668,7251,0.6214,1544,1150,1330,25,31,,30,"Not required for admission, but considered if submitted",,,40032,45915,872,672,220,0.3274,6460,39455,0,0,9.9,39.4,15275,All key fields found cleanly from CDS sections. Cost of attendance figures not fully itemized in standard G1 format; tuition and fees appear to be set by state for public institution but specific amounts not clearly broken out in the extracted text.
College of William and Mary,VA,Southeast,2023-24,high,,17548,5741,0.3272,1619,1365,1510,32,34,4.365,75.39,optional,25914,50647,41568,66301,573,1046,68,0.065,10058,56243,72,25070,25.3,79,19667,All key fields located cleanly. Public institution with separate in-state and out-of-state tuition. Test-optional policy. H2A merit data clearly labeled for first-time first-year students.
College of the Holy Cross,MA,Northeast,2023-24,medium,coa_from_ipeds,8670,1829,0.211,824,1270,1420,28,32,,38,"Not required for admission, but considered for some",,,80500,80500,363,461,79,0.1714,24796,55704,64,32706,100,100,51739,"Cost data (G1) not available for 2024-2025 academic year (marked as unavailable with approximate date 3/15/2024). Average HS GPA reported as 0.0 with 0.0% submission rate, indicating data not collected/reported. Need-based aid average is the full financial aid package ($51,739); need-based grant/scholarship component is $48,881."
Colorado College,CO,West,2023-24,high,,7532,1509,0.2003,517,1380,1500,31,34,3.7,64,"Not required for admission, but considered if submitted",70734,70734,86754,86754,238,279,47,0.1685,5512,81242,7,47337,100,100,64896,Colorado College is a private institution. Test policy is optional (not required but considered). All sections H2 and H2A data cleanly extracted from first-time full-time freshmen columns.
Colorado School of Mines,CO,West,2022-23,high,,10886,6314,0.58,1512,1340,1460,30,33,3.85,57,required,20040,42120,39529,61609,664,848,747,0.8809,7756,53853,37,12236,20,67,17211,"All key fields extracted cleanly from CDS sections C, G, and H. Institution is a public engineering-focused school in Colorado."
Colorado State University,CO,West,2023-24,high,,36616,32805,0.8959,5074,1050,1260,23,29,3.7,19.3,"Not required for admission, but considered for some",13009.86,33765.46,27049.86,47805.46,1694,3380,990,0.2929,4924.0,42881.46,11,20438.0,10.0,73.2,11160.0,All key sections clearly identified and extracted. H2A fields (merit aid) cleanly reported for first-time first-year students.
Columbia University,NY,Northeast,2023-24,medium,coa_estimated_from_components,486,154,0.3169,46,1460,1540,31,35,,,Required to be considered for admission,65640,65640,89668,89668,21,25,9,0.36,6389,83279,,,5,54,25338,This is Columbia General Studies data. HS class rank and average GPA data not provided by institution (CDS notes indicate GS application does not collect these data). Athletic non-need-based aid appears to be zero or unreported.
Connecticut College,CT,Northeast,2023-24,medium,merit_rate_clamped_denominator_approx;coa_from_ipeds,9397,3597,0.3828,555,1170,1370,27,32,,,optional,,,84697,84697,281,274,285,1.0,28104,56593,0,0,100,100,46464,"Verified against H2/H2A first-time full-time freshmen column (555 enrolled, 281 with need, 285 no-need merit awardees averaging $28,104, 0 athletic awards) - all figures confirmed correct in source, not misread from the all-undergraduate column. The source itself reports 285 no-need merit recipients versus only 274 (555-281) freshmen without need, an inconsistency present in Connecticut College's own CDS filing rather than an extraction error. G1 cost of attendance dollar values were not captured by the PDF text extraction (only field labels present); C10-C12 class rank/GPA fields also appear blank in the extracted text."
Cornell University,NY,Northeast,2023-24,high,,67846,5358,0.079,3537,1480,1550,33,35,,81.7,SAT and/or ACT,69314,69314,88742,88742,1735,1802,0,,,,0,,100,100,59302,"H2A (N/O/P/Q) is blank in the source, but this is corroborated, not missing: H2 line G shows 0 students awarded non-need-based scholarship/grant aid across all cohorts, and H1 explicitly lists Athletic Awards as $0.00 (both need and non-need columns). Cornell (Ivy League, no-merit-aid policy) awards zero institutional non-need-based merit or athletic aid, so merit fields are correctly 0, not missing."
Creighton University,NE,Midwest,2023-24,high,,7248,5241,0.7231,1044,1265,1430,26,30,3.898,34,Test optional,48856,48856,62508,62508,542,502,484,0.9641,24539,37969,40,25596,42.25,88.5,27440,All key sections found cleanly. SAT composite reported directly. ACT composite reported directly. Test policy is test-optional (not required but considered). Tuition and fees structure is standard for private institution.
Dartmouth College,NH,Northeast,2023-24,medium,,28841,1797,0.0623,1209,,,,,,93.5,test optional,68268,68268,88267,88267,612,597,0,,0,,0,0,100,100,67600.09,"SAT/ACT percentile scores not populated in extracted CDS text (sections show structure but no numeric values). Test policy confirmed as optional. All other key fields extracted cleanly from sections C1, G1, and H2/H2A."
Davidson College,NC,Southeast,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,79475,79475,,,,,,,,,,,,"Verified against source: the CDS text extraction contains only labels, instructions, and definitions for B1, C1, G1, H2, and H2A -- every numeric cell (freshman counts, need/merit aid figures, COA dollar amounts) is blank/whitespace in the extracted text. No usable numbers exist anywhere in this document for any field, so all values remain null."
DePaul University,IL,Midwest,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,66798,66798,,,,,,,,,,,,"Verified: the source text is an unfilled CDS form template (row/column labels and checkboxes only, e.g. B1, C1, G1, H2, H2A) with no numeric values anywhere in admissions, cost, need-aid, or merit sections for DePaul University 2023-24. No data exists to extract, so all fields remain null."
DePauw University,IN,Midwest,2023-24,medium,merit_rate_clamped_denominator_approx,7197,3891,0.5406,499,1160,1370,26,31,3.9,,test-optional,59070,59070,74400,74400,266,233,237,1.0,37534,36866,0,0,44.4,88.3,42083,"H2/H2A figures (266 with-need, 237 no-need-merit, avg $37,534) verified from the Full-Time First-Time Freshmen column and are internally consistent with the H2 table's own reported base of 509 freshmen; however that base differs slightly from the B1/C1 freshman count of 499, so no-need-merit (237) exceeds (499-266=233) by 4 -- a minor source-data inconsistency between sections, not a column-mix-up. Fixed a $1,000 arithmetic error in COA total: G1 tuition $57,990 + fees $1,080 + food/housing $15,330 = $74,400, not $75,400."
Denison University,OH,Midwest,2023-24,high,,14580,2468,0.1693,636,1320,1440,29,32,,72,Optional,67000,67000,83400,83400,377,259,222,0.8571,18758,64642,0,,100,100,49800,All key fields found cleanly. Test policy is optional. H2A merit aid data clearly identified in section with full-time first-time first-year column.
Dickinson College,PA,Northeast,2023-24,high,,7185,3095,0.4308,490,1288,1410,29,32,3.6,26,Test-optional,65675,65675,82775,82775,363,127,126,0.9921,25475,57300,0,0,62.9,99.6,50060,"All key sections (B1, C1, C8-C12, G1, H2, H2A) found clearly. Test-optional policy confirmed. Athletic awards listed as 0 with $0 average."
Drew University,NJ,Northeast,2020-21,medium,coa_from_ipeds,3989,2918,0.7315,343,1120,1300,24,30,3.59,26.44,Consider if Submitted,,,68495,68495,254,89,78,0.8764,23027,45468,,,30.71,89.2,31593,Cost of attendance data not found in extracted text - tuition/fees and room/board figures are missing from G1 section. Athletic aid numbers (H2A lines P and Q) are blank/not provided in source. Test policy is 'Consider if Submitted' (optional). Enrollment counts from B1 (first-time full-time freshmen): 343 total.
Drexel University,PA,Northeast,2023-24,high,,40204,31171,0.7753,2850,1250,1410,27,33,3.8,36.4,"Not required for admission, but considered for some",62412,62412,80508,80508,1962,888,876,0.9865,23800.05,56707.95,39,35562.74,27.4,79.4,38460.64,"All key sections found with clear data. H2A merit aid fields verified: 876 students with no financial need awarded merit aid at avg $23,800; 39 students with athletic awards at avg $35,563."
Duke University,NC,Southeast,2021-22,high,,49523,2921,0.059,1744,1490,1560,33,35,,95.0,required,62688,62688,79338,79338,657,1087,145,0.1334,78610,728,60,61934,100.0,100.0,62270,"All key H2A merit aid fields found cleanly. GPA average not explicitly stated in source document. Cost of attendance components sum to approximately $79,338 for on-campus residents."
Duquesne University,PA,Northeast,2023-24,high,,14112,11128,0.7885,1477,1170,1338,26,31,3.82,23,test optional,48986,48986,65360,65360,1031,446,356,0.7982,22547,42813,81,24551,20,74,27098,All key financial aid fields located in H2 and H2A sections with clear first-time full-time freshmen columns. Private institution with same tuition for in-state and out-of-state.
Earlham College,IN,Midwest,2023-24,high,,1765,1310,0.7422,202,1200,1325,23,30,3.6,31,Test optional,53930,53930,67915,67915,140,62,33,0.5323,34571,33344,0,0,27.857142857142858,85,40153.48,All key fields found cleanly. Private nonprofit institution. Test-optional policy in effect since 2011. Financial aid year is 2022-2023 final.
